slug,kind,maker,model,year_from,blurb,fractal_names,photo_path,photo_credit,photo_license
das-metall,amp,Diezel,VH4,,,"{""Das Metall""}",,,
deluxe-tweed,amp,Fender,"Tweed Deluxe, 5E3",,,"{""Deluxe Tweed""}",,,
deluxe-verb,amp,Fender,"'65 blackface Fender Deluxe Reverb, AB763",1965,,"{""Deluxe Verb""}",,,
dirty-shirley,amp,Friedman,Dirty Shirley,,,"{""Dirty Shirley""}",,,
div,amp,Divided by 13,CJ 11,,,"{""Div"",""13 CJ11""}",,,
dizzy-v4,amp,Diezel,VH4,,,"{""Dizzy V4"",""Das Metall""}",,,
double-verb,amp,Fender,Twin Reverb,,,"{""Double Verb""}",,,
dweezils-b-man,amp,Fender,"modded '65 blackface Fender Bassman, AB165",1965,,"{""Dweezil's B-man""}",,,
energyball,amp,Engl,Powerball,,,"{""Energyball""}",,,
euro-blue,amp,Bogner,"Ecstasy, 20th Anniversary edition",,,"{""Euro Blue"",""Euro Red""}",,,
euro-uber,amp,Bogner,Uberschall,,,"{""Euro Uber""}",,,
fox-ods,amp,Fuchs,Overdrive Supreme,,,"{""Fox ODS""}",,,
friedman-be,amp,Friedman,BE-100,,,"{""Friedman BE"",""Friedman HBE""}",,,
friedman-sm-box,amp,Friedman,Small Box,,,"{""Friedman SM Box""}",,,
fryette-d60,amp,Fryette,Deliverance 60,,,"{""Fryette D60""}",,,
gibtone-scout,amp,Gibson,'64 Gibson Scout,1964,,"{""Gibtone Scout""}",,,
herbie,amp,Diezel,Herbert,,,"{""Herbie""}",,,
hipower,amp,Hiwatt,DR103,,,"{""Hipower""}",,,
hot-kitty,amp,Bad Cat,Hot Cat 30,,,"{""Hot Kitty""}",,,
jazz-120,amp,Roland,Jazz Chorus 120,,,"{""Jazz 120""}",,,
jmpre-1,amp,Marshall,JMP-1 preamp,,,"{""JMPre-1"",""Brit Pre""}",,,
jr-blues,amp,Fender,Blues Junior,,,"{""Jr Blues""}",,,
js410,amp,Marshall,"JVM410HJS, Joe Satriani's signature amp",,,"{""JS410""}",,,
legato-100,amp,Carvin,"Legacy VL100, Steve Vai's signature amp",,,"{""Legato 100""}",,,
matchbox-d-30,amp,Matchless,DC-30,,,"{""Matchbox D-30""}",,,
mr-z-hwy-66,amp,Dr. Z,Route 66,,,"{""MR Z HWY 66""}",,,
mr-z-mz,amp,Dr. Z,Maz,,,"{""Mr Z MZ""}",,,
mr-z-mz-8,amp,Dr. Z,Maz 8,,,"{""Mr Z MZ-8""}",,,
mr-z-mz-38,amp,Dr. Z,Maz 38,,,"{""Mr Z MZ-38""}",,,
nuclear-tone,amp,Swart,Atomic Space Tone,,,"{""Nuclear-Tone""}",,,
ods-100,amp,Dumble,Overdrive Special,,,"{""ODS-100""}",,,
prince-tone,amp,Fender,Princeton,,,"{""Prince Tone""}",,,
prince-tone-nr,amp,Fender,Silverface Princeton w/o Reverb,,,"{""Prince Tone NR""}",,,
prince-tone-reverb,amp,Fender,blackface Fender Princeton Reverb,,,"{""Prince Tone Reverb""}",,,
pvh-6160-block,amp,Peavey,block letter EVH 5150 = Peavey 6505,,,"{""PVH 6160 Block""}",,,
pvh-6106-plus,amp,Peavey,6160+ / EVH 5150-II,,,"{""PVH 6106+""}",,,
recto1,amp,MESA/Boogie,MESA two-channel and three-channel Dual Rectifiers,,,"{""Recto1"",""Recto2""}",,,
ruby-rocket,amp,Paul Ruby,Rocket,,,"{""Ruby Rocket""}",,,
shiver,amp,Bogner,20th Anniversary Bogner Shiva,,,"{""Shiver""}",,,
solo-88,amp,Soldano,X88R and X99 preamps,,,"{""Solo 88"",""Solo X99""}",,,
solo-100,amp,Soldano,SLO-100,,,"{""Solo 100""}",,,
spawn-nitrous,amp,Splawn,Nitro,,,"{""Spawn Nitrous""}",,,
spawn-qrod,amp,Splawn,Quickrod,,,"{""Spawn Qrod""}",,,
super-verb,amp,Fender,"'64 blackface Fender Super Reverb, AB763",1964,,"{""Super Verb""}",,,
supremo-trem,amp,Supro,1964T Dual-Tone,,,"{""Supremo Trem""}",,,
sv-bass,amp,Ampeg,SVT,,,"{""SV Bass""}",,,
tremolo-lux,amp,Fender,"blackface Fender Tremolux, AA763",,,"{""Tremolo Lux""}",,,
two-stone-j35,amp,Two-Rock,Jet 35,,,"{""Two Stone J35""}",,,
tx-star,amp,MESA/Boogie,MESA Lone Star,,,"{""TX Star""}",,,
usa-bass-400,amp,MESA/Boogie,MESA Bass 400,,,"{""USA Bass 400""}",,,
usa-clean,amp,MESA/Boogie,Mark IV,,,"{""USA Clean"",""USA Lead"",""USA Rhythm""}",,,
usa-iic-plus,amp,MESA/Boogie,Mark IIC+,,,"{""USA IIC+"",""USA IIC++""}",,,
usa-iic-plus-plus,amp,MESA/Boogie,modded MESA/Boogie Mark IIC+,,,"{""USA IIC++""}",,,
usa-pre,amp,MESA/Boogie,TriAxis preamp,,,"{""USA Pre""}",,,
usa-sub-blues,amp,MESA/Boogie,Subway Blues,,,"{""USA Sub Blues""}",,,
vibra-king,amp,Fender,custom Fender Vibro-King,,,"{""Vibra-King""}",,,
vibrato-lux,amp,Fender,"Vibrolux, 6G11",,,"{""Vibrato Lux""}",,,
vibrato-verb,amp,Fender,Vibroverb,,,"{""Vibrato Verb""}",,,
wrecker-express,amp,Trainwreck,Express,,,"{""Wrecker Express""}",,,
wrecker-liverpool,amp,Trainwreck,Liverpool,,,"{""Wrecker Liverpool""}",,,
wrecker-rocket,amp,Trainwreck,Rocket,,,"{""Wrecker Rocket""}",,,
