slug,kind,maker,model,year_from,blurb,fractal_names,photo_path,photo_credit,photo_license
1x15-heart-key,cab,Hartke/Ampeg-style,Heart Key 1x15,,,"[""1x15 HEART KEY""]",1x15-heart-key.jpg,Andertons / Ampeg SVT-210AV (bass cab stand-in),retailer product image (fair use editorial)
1x15-portabass,cab,Ampeg,Portaflex 1x15,,,"[""1x15 PORTABASS""]",1x15-portabass.jpg,Wikimedia / Ampeg SVT family,CC (see Commons)
1x15-vibroverb,cab,Fender,Vibroverb 1x15,,,"[""1x15 VIBROVERB""]",1x15-vibroverb.jpg,Wikimedia Commons / Fender Vibroverb,CC (see Commons)
2x10-heart-key,cab,Hartke/Ampeg-style,Heart Key 2x10,,,"[""2x10 HEART KEY""]",2x10-heart-key.jpg,Andertons / Ampeg SVT-210AV,retailer product image (fair use editorial)
2x10-super-6g4,cab,Fender,Super 6G4 2x10,,,"[""2x10 SUPER 6G4""]",2x10-super-6g4.jpg,local Fender Super 6G4 photo,see amp source
2x12-5153-stealth,cab,EVH,5150III Stealth 2x12,,,"[""2x12 5153 STEALTH""]",2x12-5153-stealth.jpg,Andertons / Friedman 2x12 (stand-in),retailer product image (fair use editorial)
2x12-65-bassguy,cab,Fender,Bassman '65 2x12,,,"[""2x12 65 BASSGUY""]",2x12-65-bassguy.jpg,local Bassman / Super Reverb family,see amp source
2x12-chiefman,cab,Matchless,Chieftain 2x12,,,"[""2x12 CHIEFMAN""]",2x12-chiefman.jpg,local Matchless Chieftain / boutique stand-in,see amp source
2x12-class-a-30w,cab,Vox,AC30 2x12,,,"[""2x12 CLASS-A 30W""]",2x12-class-a-30w.jpg,Wikimedia Commons / VOX AC30 Twin,CC (see Commons)
2x12-double-verb,cab,Fender,Twin Reverb 2x12,,,"[""2x12 DOUBLE VERB""]",2x12-double-verb.jpg,Wikimedia Commons / Twin Reverb,CC (see Commons)
2x12-lead-80,cab,Marshall/Roland-style,Lead 80 2x12,,,"[""2x12 LEAD 80""]",2x12-lead-80.jpg,local JC-120 / Marshall 2x12-ish stand-in,see amp source
2x12-texas-star,cab,Mesa/Boogie,Lone Star / Texas Star 2x12,,,"[""2x12 TEXAS STAR""]",2x12-texas-star.jpg,Andertons / Mesa 2x12 Horizontal Rectifier,retailer product image (fair use editorial)
4x10-bassguy-ri,cab,Fender,'59 Bassman RI 4x10,,,"[""4x10 BASSGUY RI""]",4x10-bassguy-ri.jpg,Wikimedia Commons / Fender Bassman (combo 4x10 cab view),see Commons source on amp photo
4x12-1960tv,cab,Marshall,1960TV 4x12 Tall Angled,,,"[""4x12 1960TV""]",4x12-1960tv.jpg,Andertons / Marshall 1960AV product photo,retailer product image (fair use editorial)
4x12-5153,cab,EVH,5150III 4x12,,,"[""4x12 5153""]",4x12-5153.jpg,Guitar Center / EVH 5150III 4x12,retailer product image (fair use editorial)
4x12-5153-stealth,cab,EVH,5150III Stealth 4x12,,,"[""4x12 5153 STEALTH""]",4x12-5153-stealth.jpg,Guitar Center / EVH 5150III 4x12,retailer product image (fair use editorial)
4x12-citrus,cab,Orange,PPC412,,,"[""4x12 CITRUS""]",4x12-citrus.jpg,Andertons / Orange PPC412,retailer product image (fair use editorial)
4x12-friedman-gb,cab,Friedman,BE 4x12 (GB/V30),,,"[""4x12 FRIEDMAN GB""]",4x12-friedman-gb.jpg,Friedman Amplification / BE412 front,manufacturer product image (fair use editorial)
4x12-friedman-v30,cab,Friedman,4x12 V30,,,"[""4x12 FRIEDMAN V30""]",4x12-friedman-v30.jpg,Andertons / Friedman 4x12,retailer product image (fair use editorial)
4x12-lerxst,cab,Lerxst/Marshall-style,Lerxst 4x12,,,"[""4x12 LERXST""]",4x12-lerxst.jpg,Andertons / Marshall 1960BV,retailer product image (fair use editorial)
4x12-recto-slant,cab,Mesa/Boogie,Rectifier Standard 4x12 Slant,,,"[""4x12 RECTO SLANT""]",4x12-recto-slant.jpg,Andertons / Mesa Boogie Rectifier Standard Slant,retailer product image (fair use editorial)
4x12-recto-straight,cab,Mesa/Boogie,Rectifier Standard 4x12 Straight,,,"[""4x12 RECTO STRAIGHT""]",4x12-recto-straight.jpg,Long & McQuade / Mesa Boogie Rectifier Standard Straight,retailer product image (fair use editorial)
4x12-rumble-ev12l,cab,Marshall/EV-style,Rumble EV12L 4x12,,,"[""4x12 RUMBLE EV12L""]",4x12-rumble-ev12l.jpg,Andertons / Marshall 1960BX,retailer product image (fair use editorial)
4x12-rumble-ev12s,cab,Marshall/EV-style,Rumble EV12S 4x12,,,"[""4x12 RUMBLE EV12S""]",4x12-rumble-ev12s.jpg,Andertons / Marshall 1960B,retailer product image (fair use editorial)
4x12-solo-100,cab,Soldano,SLO 4x12,,,"[""4x12 SOLO 100""]",4x12-solo-100.jpg,Andertons / Soldano 1x12 Classic (cab family stand-in),retailer product image (fair use editorial)
4x12-usa-mc90,cab,Mesa/Boogie,MC90 / Mesa 4x12,,,"[""4x12 USA MC90""]",4x12-usa-mc90.jpg,Andertons / Mesa compact Rectifier cab family,retailer product image (fair use editorial)
8x10-sv-bass,cab,Ampeg,SVT-810E,,,"[""8x10 SV BASS""]",8x10-sv-bass.jpg,The Music Den / Ampeg SVT-810E,retailer product image (fair use editorial)
